frame,kp0_x,kp0_y,kp1_x,kp1_y,kp2_x,kp2_y,kp3_x,kp3_y,kp4_x,kp4_y,kp5_x,kp5_y,kp6_x,kp6_y,kp7_x,kp7_y,kp8_x,kp8_y,kp9_x,kp9_y,kp10_x,kp10_y,kp11_x,kp11_y,kp12_x,kp12_y,kp13_x,kp13_y,kp14_x,kp14_y,kp15_x,kp15_y,kp16_x,kp16_y
20,323.27,160.99,5.01,-2.09,-1.74,-1.92,3.16,5.99,-1.84,-1.7,291.26,197.51,353.81,189.49,271.69,255.36,355.72,254.64,266.34,317.69,374.45,317.51,290.88,317.66,349.2,313.99,257.41,361.63,378.06,361.99,294.95,432.81,340.86,429.95
21,319.16,154.59,-6.25,2.74,-1.4,-4.09,-0.38,4.51,-9.12,-5.99,286.31,205.3,351.13,202.52,270.44,254.98,366.79,259.69,272.19,318.7,371.11,320.09,298.11,322.46,338.52,310.25,264.39,364.53,375.54,352.34,295.4,433.72,352.19,432.07
22,318.51,156.37,0.05,-1.2,-4.06,8.2,7.14,4.54,-3.68,3.42,292.56,201.71,355.0,202.48,277.96,262.49,366.36,252.8,270.33,317.71,364.88,326.67,301.92,325.35,346.02,325.32,260.09,360.79,375.58,361.56,295.24,424.79,344.8,429.68
23,327.19,163.52,0.05,1.0,0.18,-0.81,-4.33,-0.6,-2.98,-5.0,292.04,201.5,342.85,199.45,278.98,264.18,369.1,260.09,266.62,315.6,371.38,321.46,300.15,324.31,344.47,314.94,258.77,360.84,379.15,357.66,296.01,427.98,342.49,431.25
24,318.39,160.43,1.09,-4.56,-1.92,5.75,-4.65,-8.47,-7.45,0.12,290.12,198.98,354.86,188.76,276.58,265.7,360.49,257.93,266.99,315.88,368.69,325.16,302.35,317.89,352.62,319.38,267.4,359.41,380.14,361.24,307.72,433.41,342.17,433.88
25,318.55,156.53,3.63,0.12,1.11,0.06,1.35,1.7,-7.75,2.67,286.07,192.72,349.77,198.83,272.23,261.82,359.63,256.86,267.66,318.31,371.12,314.46,297.9,318.14,337.43,310.05,261.01,358.51,378.53,359.28,295.9,433.79,340.56,425.31
26,315.63,158.23,4.98,-1.73,-10.01,-6.82,-3.33,-2.23,-1.63,0.15,288.75,201.27,347.3,193.62,276.92,250.93,366.56,257.48,269.41,323.43,367.51,325.31,294.1,310.8,345.28,311.6,259.04,360.42,380.17,356.34,298.95,434.63,350.75,432.12
27,325.45,147.7,-1.27,-3.47,0.48,-2.29,-0.66,7.53,-0.68,1.66,289.07,195.53,350.02,197.02,279.66,261.82,366.24,257.58,265.4,314.87,373.76,318.69,295.85,316.86,346.96,318.12,264.5,356.67,378.0,346.37,296.53,415.41,338.11,431.81
28,321.91,148.33,-2.85,5.48,-1.94,8.97,-0.01,1.63,6.47,0.52,285.99,192.54,349.86,187.52,273.98,250.01,368.7,253.12,268.87,312.56,370.89,315.45,291.0,306.01,349.42,308.53,259.24,358.97,376.94,351.07,295.92,432.94,346.5,432.53
29,314.38,151.72,-1.21,-1.93,3.48,5.92,7.18,5.26,-0.44,1.41,293.07,190.88,350.52,193.69,274.76,247.47,363.34,252.93,270.01,311.75,372.68,308.89,298.02,308.06,340.06,312.32,264.72,349.54,369.09,352.07,295.21,428.9,343.65,432.48
30,321.36,148.76,1.64,2.46,-8.43,-1.46,-8.72,0.14,-0.02,4.18,294.75,188.31,348.0,189.44,272.89,247.49,368.94,245.27,273.22,310.21,366.18,311.4,297.79,302.91,341.95,299.06,266.6,357.17,367.43,356.75,290.03,429.18,345.44,439.78
31,314.49,150.25,0.6,1.64,0.47,1.78,-0.61,5.82,-1.83,4.53,287.42,184.12,345.71,186.19,280.78,244.06,364.21,239.91,269.08,297.99,366.35,305.27,300.28,309.35,342.65,303.85,271.92,353.14,370.79,353.99,295.44,428.37,339.41,423.83
32,322.61,139.94,-2.38,0.03,3.18,0.72,-2.62,4.91,6.32,1.98,293.89,186.02,354.52,183.5,277.39,243.13,360.61,243.85,264.58,297.87,375.21,304.41,300.95,292.38,340.39,292.51,273.67,352.74,371.27,350.97,296.41,426.05,346.8,430.01
33,317.0,136.67,-0.74,-1.08,7.09,-0.39,-0.98,-8.39,-3.58,-1.05,287.26,183.14,349.34,182.77,275.25,237.76,364.64,237.63,276.88,288.33,361.99,295.44,295.06,291.42,346.89,287.12,279.75,355.17,365.07,354.9,296.09,427.75,347.79,430.44
34,320.01,140.02,-9.8,-5.67,-4.75,-1.45,-1.02,-6.03,-3.94,-3.44,299.83,181.33,348.35,172.67,270.4,226.49,364.53,230.14,269.66,287.73,366.95,294.72,296.46,285.45,339.72,287.2,274.91,352.18,361.85,344.15,293.74,431.46,347.45,429.44
35,326.13,134.69,-1.03,3.0,7.74,7.84,-4.91,-3.71,5.94,-4.23,284.71,168.71,351.68,170.25,272.4,227.96,362.15,227.14,279.13,291.85,373.55,288.7,294.26,276.07,334.39,273.41,273.3,339.26,354.68,353.56,294.82,435.16,346.64,433.13
36,316.4,129.37,2.91,-2.31,2.24,2.26,-2.2,-4.49,-4.74,0.35,291.31,164.1,350.11,169.56,277.47,233.48,370.11,223.27,276.73,285.15,374.18,287.55,293.35,266.95,344.31,267.95,286.78,352.98,353.9,348.12,292.1,427.49,348.1,429.85
37,326.96,122.11,4.0,0.39,3.18,-1.79,-0.2,-0.46,-3.34,2.65,292.6,166.41,356.15,169.84,273.5,225.53,362.51,224.13,267.6,290.52,371.45,283.17,299.77,260.97,336.94,272.84,285.41,346.62,349.52,345.52,303.01,433.3,345.68,428.24
38,318.42,112.5,1.03,3.38,-6.3,-2.65,-4.63,-3.86,0.21,-8.34,292.46,164.04,349.0,151.1,271.01,225.95,353.89,219.63,265.28,284.24,367.3,282.64,297.26,272.77,344.19,266.93,281.35,349.17,349.67,342.17,294.91,423.75,345.92,433.87
39,321.17,111.92,-0.5,2.97,-7.51,-4.3,3.51,1.08,1.65,7.44,291.87,160.9,360.84,157.42,271.81,219.98,366.76,216.16,265.87,287.51,371.31,275.34,298.66,261.14,343.99,263.83,284.04,344.72,358.44,345.17,293.5,427.97,343.36,428.98
40,318.49,119.51,-6.93,3.45,-1.52,1.51,-4.51,5.31,4.98,3.84,283.94,159.17,351.62,149.43,274.9,217.31,367.22,216.56,271.16,281.74,374.9,264.38,293.73,257.53,337.99,258.57,295.9,337.99,350.44,338.68,292.31,435.91,342.83,431.85
41,312.52,121.25,2.41,-0.73,2.3,-5.64,4.73,-1.3,-0.82,-1.97,287.68,156.58,351.02,156.41,274.96,215.85,363.32,222.72,263.73,278.84,375.47,270.39,303.92,259.3,348.88,255.43,291.47,340.68,349.22,347.12,295.73,426.35,348.3,433.68
42,322.62,115.14,-1.08,-3.72,-3.47,-6.54,0.95,-0.33,-1.76,-11.82,285.01,156.64,347.34,153.6,269.44,217.92,364.42,213.32,279.3,278.23,368.77,269.79,293.7,255.07,344.58,251.44,299.36,340.41,355.71,341.23,302.14,431.43,348.85,427.1
43,316.58,112.81,3.95,0.16,-5.15,-5.44,-5.71,-7.07,0.44,4.5,289.95,141.93,349.24,150.32,283.38,205.14,363.44,217.79,271.8,273.22,370.46,272.29,298.11,248.12,348.51,245.86,295.64,341.1,343.21,340.3,292.51,425.71,343.59,425.58
44,321.29,105.64,2.85,-4.73,-2.27,-2.5,5.3,1.32,-0.85,1.99,281.57,150.07,357.99,150.77,275.27,212.44,368.58,202.25,263.27,271.08,367.14,275.49,293.74,242.6,339.93,239.34,293.89,339.34,343.47,344.41,299.79,429.32,336.46,432.47
45,322.22,111.24,3.93,-4.66,8.04,-3.84,3.0,-6.75,-3.72,6.07,288.96,153.36,350.95,149.58,280.46,209.05,357.88,206.79,272.2,271.58,363.73,267.1,292.67,248.54,339.5,247.49,292.09,343.09,348.24,339.42,293.43,430.56,341.73,425.41
46,316.24,107.7,-4.65,0.65,2.92,-6.35,0.1,-0.88,1.37,-0.05,284.19,145.19,350.12,154.36,266.14,211.63,369.76,209.63,272.2,267.43,369.52,263.76,285.62,254.11,341.06,248.52,289.28,334.46,344.47,337.18,296.51,431.81,346.28,430.95
47,326.31,106.7,-0.22,4.53,5.06,-5.69,-1.25,5.43,2.03,0.78,289.13,149.43,351.15,149.96,274.83,211.28,362.29,213.1,281.66,263.86,371.3,267.93,297.31,251.54,348.05,256.06,295.09,344.92,336.3,346.75,296.5,434.31,340.12,426.68
48,320.58,112.09,1.13,4.34,-7.06,3.9,0.03,-0.82,-5.88,2.01,280.34,154.75,344.03,152.38,274.52,216.84,364.29,209.38,267.97,277.25,372.15,270.62,294.05,246.76,346.55,245.99,296.49,341.38,356.06,336.46,294.59,437.19,349.77,427.22
49,320.9,113.81,1.13,-2.79,-0.36,-6.39,0.54,1.8,-0.91,-6.46,293.95,155.26,347.1,152.68,269.0,209.7,362.85,218.71,267.44,276.36,367.85,274.79,294.43,258.81,342.86,249.03,286.81,339.39,342.66,343.16,293.14,439.5,338.05,430.81
50,315.49,113.88,0.57,-9.3,0.95,7.61,-1.81,1.04,4.1,-0.66,287.68,146.75,352.56,155.4,270.95,216.36,362.67,213.74,272.43,270.5,374.19,270.26,292.35,265.88,349.51,258.58,287.14,340.22,349.39,342.49,294.64,429.88,344.14,424.23
51,317.93,121.93,-5.47,-0.76,-3.28,0.45,-1.55,5.91,2.03,-5.25,292.68,155.17,347.69,159.53,273.03,221.84,361.9,215.8,267.37,276.01,374.4,280.79,301.84,270.65,340.88,261.86,284.5,340.2,348.27,339.08,290.79,429.42,340.13,433.37
52,316.33,132.26,-1.81,0.29,-5.18,6.82,4.48,1.19,-5.39,0.84,285.51,166.87,353.24,161.4,265.25,217.09,367.75,225.87,274.44,274.65,371.21,285.08,288.37,265.4,346.1,264.23,279.88,343.11,351.4,343.82,292.75,428.23,344.84,431.77
53,318.78,122.4,0.37,-7.68,1.91,-0.0,0.16,3.84,-7.81,-7.9,291.1,164.01,350.68,162.19,277.66,227.77,366.94,223.0,261.57,287.12,374.89,286.62,291.48,272.35,348.44,275.89,281.67,344.71,357.82,345.85,290.53,431.66,347.31,430.35
54,320.88,126.24,5.91,-3.6,-2.35,0.04,3.52,-5.99,-5.24,-8.15,290.13,162.8,348.46,169.92,272.43,228.2,363.8,229.96,271.9,284.51,369.33,291.45,296.57,268.6,347.62,269.85,288.56,351.01,358.25,347.54,294.16,432.71,343.52,430.94
55,323.49,128.41,-2.46,-4.78,-4.26,-7.31,2.92,7.24,5.7,-6.5,292.9,176.35,348.17,171.06,266.97,231.73,360.75,231.46,263.76,292.83,374.1,287.53,290.45,270.3,343.93,276.6,274.33,350.08,357.66,343.96,292.78,434.29,347.41,429.48
56,322.48,129.48,0.13,0.59,-1.88,1.74,-3.12,2.04,2.21,-11.67,294.76,161.94,347.54,178.23,273.73,228.26,360.63,238.24,262.31,298.64,369.78,289.36,292.67,279.71,348.46,286.71,271.23,348.04,358.44,354.83,289.6,436.42,344.87,425.35
57,317.29,134.41,-5.1,0.38,-4.91,-8.72,-1.52,-7.21,-3.01,-3.64,286.52,185.62,350.23,178.59,267.89,235.0,365.86,233.52,273.63,292.8,368.85,295.27,295.66,286.1,343.92,287.71,272.73,352.99,365.28,350.69,293.28,433.19,344.06,428.77
58,320.42,147.83,-5.36,3.08,-7.57,0.87,6.3,1.95,0.68,-2.24,290.12,180.04,346.86,179.89,275.79,237.98,361.77,235.61,271.56,303.23,370.93,304.91,295.35,295.04,346.22,293.1,271.14,361.28,364.93,349.76,296.74,431.01,339.38,434.49
59,319.62,139.92,4.76,2.5,-5.06,7.11,2.64,-0.04,6.36,0.64,289.89,181.72,352.33,186.27,275.06,241.21,365.52,244.09,264.67,298.48,372.26,293.96,295.82,296.2,350.23,296.14,273.58,352.16,369.51,356.69,293.15,433.99,341.03,431.18
60,323.69,150.14,7.67,-3.05,-5.52,-3.98,2.64,1.99,0.41,-4.49,293.07,182.6,354.64,198.93,276.47,249.83,363.03,240.26,267.59,303.13,364.21,314.39,296.09,304.02,343.76,301.81,272.61,354.87,373.37,354.22,293.63,424.37,337.09,428.95
61,320.23,145.25,-0.14,0.22,-8.62,-3.66,1.63,1.55,-4.61,0.63,294.09,193.5,349.62,188.52,272.48,252.26,365.78,252.91,270.53,313.67,370.38,313.53,298.48,303.33,337.77,312.72,267.75,349.3,370.42,359.24,293.88,427.95,350.6,425.81
62,316.81,153.83,1.56,1.99,3.64,0.79,1.96,-1.04,0.25,0.43,290.86,196.07,352.22,193.16,271.76,253.25,364.89,253.76,278.83,310.89,371.69,317.26,295.39,319.53,343.49,311.47,261.72,355.79,376.08,360.58,296.28,435.04,344.62,428.67
63,330.82,156.8,-2.88,-2.78,-3.77,3.75,-1.46,0.51,-0.25,2.93,286.61,190.92,350.9,197.63,276.33,251.99,367.71,252.25,267.91,311.45,375.2,317.76,297.42,318.3,356.25,306.48,260.39,355.63,373.25,353.78,293.8,425.13,346.34,430.21
64,321.92,159.1,2.41,-1.49,8.48,0.94,-7.45,-4.01,-6.96,0.07,289.51,195.2,358.04,199.27,277.9,253.35,361.0,257.22,270.69,309.65,369.28,317.13,294.14,312.65,342.84,315.2,262.41,361.25,382.28,357.65,293.18,431.75,347.44,428.26
65,323.16,162.41,5.17,7.11,-3.47,0.06,0.05,-0.39,-2.6,-5.94,290.37,195.42,350.34,195.32,270.6,259.43,365.6,260.81,278.74,319.6,371.94,314.18,289.85,324.22,341.31,313.71,260.9,359.04,375.33,358.18,299.92,426.78,339.43,433.77
66,321.97,156.97,-6.33,-2.98,-0.22,4.66,-4.15,-0.34,2.7,-9.53,294.14,194.72,351.33,200.44,279.34,261.66,355.49,256.31,270.55,318.67,371.91,322.61,297.43,318.38,337.61,317.41,262.05,355.42,382.14,363.42,295.51,417.74,339.89,437.54
67,317.81,152.0,4.94,0.05,4.42,1.11,1.83,1.45,2.79,9.11,293.88,193.62,351.79,204.51,279.81,258.23,369.66,263.65,280.29,316.94,367.97,318.71,293.04,316.35,333.95,318.18,261.52,358.0,387.7,360.03,300.16,431.05,348.31,431.12
68,325.48,160.16,1.98,1.47,-1.15,1.62,8.94,-1.08,1.68,5.03,294.56,199.99,340.47,202.01,266.12,265.82,365.68,263.94,266.39,313.73,371.04,319.8,293.03,320.25,356.07,323.25,264.24,363.35,385.88,359.22,286.78,429.25,348.25,426.12
69,319.29,156.69,6.01,3.0,2.61,2.49,-0.15,0.79,-4.74,-8.75,290.6,200.75,354.84,205.74,281.28,255.46,363.59,261.38,280.13,325.37,374.48,317.9,291.47,322.39,340.6,318.28,259.92,366.15,378.2,350.02,297.02,427.2,345.17,429.65
70,318.91,161.65,-6.13,-2.07,2.74,-2.46,-6.44,2.67,4.49,-0.18,282.16,201.32,343.36,199.73,271.45,253.85,363.23,257.76,267.42,320.85,368.22,322.41,296.12,315.1,341.54,311.3,262.22,357.98,369.46,357.25,291.4,436.3,338.19,424.23
71,324.44,162.5,-2.98,-2.53,2.46,-9.31,-7.44,-1.12,6.2,-1.74,290.4,201.61,358.43,194.77,274.93,264.36,358.91,261.18,265.93,317.48,369.03,313.24,291.07,317.01,348.98,315.38,262.33,361.11,374.07,361.79,298.28,440.41,343.5,428.17
72,323.08,158.5,-2.14,-1.61,2.16,-3.31,-1.64,0.36,3.98,-2.42,282.63,187.56,344.96,189.97,274.38,250.47,362.19,252.13,268.24,320.52,372.65,315.29,293.16,311.58,346.31,315.65,259.71,358.24,368.53,358.94,298.05,428.88,352.27,426.48
73,320.87,152.84,-0.4,-0.46,0.43,3.39,5.51,-0.01,3.26,-2.81,293.06,189.94,354.36,201.83,274.51,244.21,362.81,257.91,272.21,313.98,374.03,314.92,299.87,313.85,351.09,311.61,268.53,355.96,372.68,364.02,295.86,433.22,345.49,427.65
74,320.04,156.14,2.22,-6.85,-0.86,7.13,-0.86,-7.2,7.57,2.73,289.72,188.91,354.33,188.22,279.59,252.56,365.98,250.97,269.3,314.57,366.54,303.9,297.46,309.07,346.92,308.18,265.44,359.31,373.09,354.21,293.75,438.08,338.06,432.0
75,313.28,147.07,-1.73,-8.34,1.56,-1.52,-8.4,3.36,5.74,5.96,291.44,187.68,355.31,194.23,279.53,243.73,365.81,249.26,262.76,309.38,379.09,310.06,300.89,303.23,344.71,304.03,265.49,351.14,376.32,360.49,291.04,433.87,344.65,431.36
76,321.84,148.34,0.33,5.64,1.24,2.5,-3.33,8.63,1.88,2.85,283.57,181.07,354.95,185.51,267.34,248.52,362.82,250.01,269.65,305.18,374.72,300.78,291.03,297.33,348.31,292.79,264.27,357.04,366.64,352.18,287.57,427.28,344.97,433.72
77,316.92,147.68,-2.74,-2.73,6.15,0.85,-2.21,-0.62,5.41,5.86,286.73,180.88,350.36,177.1,274.78,241.07,369.56,245.88,268.68,300.19,372.66,298.71,297.35,293.12,341.12,289.64,279.05,351.79,373.3,350.36,296.16,439.57,340.77,422.41
78,325.15,134.31,-0.08,-2.34,1.07,-3.8,-0.72,1.8,-4.03,-2.8,288.61,171.9,348.31,178.09,273.4,236.53,364.92,234.99,272.76,303.36,368.14,299.55,294.04,290.12,351.26,290.69,268.58,352.86,369.26,350.16,298.98,427.24,339.06,430.56
79,312.97,133.17,5.15,-7.64,-5.12,-4.13,-0.25,-1.46,5.6,3.82,291.98,174.71,351.57,170.68,278.43,229.68,368.34,238.87,270.84,293.42,371.6,282.68,296.21,283.33,344.8,286.6,277.81,345.09,361.32,349.92,295.46,430.65,349.16,425.66
80,320.7,135.82,-6.94,0.72,-2.34,-1.48,-3.62,-0.68,7.37,-5.06,285.32,165.45,356.91,168.81,274.9,229.05,361.22,229.72,279.83,296.23,366.59,293.25,291.67,271.82,349.08,283.56,284.72,346.38,358.79,351.26,296.57,428.43,338.52,430.46
81,324.32,122.48,2.56,1.33,3.0,3.49,-2.78,-6.47,-2.13,3.56,287.83,164.5,342.71,174.29,278.3,230.35,368.87,229.58,269.02,286.62,368.29,297.81,297.22,272.33,346.86,270.14,288.93,344.27,359.1,351.17,296.54,430.38,345.04,429.77
82,317.69,122.24,5.92,-0.43,-3.14,-2.07,4.4,2.7,2.24,-1.03,292.29,161.47,348.96,167.92,278.5,220.11,361.58,224.48,276.9,276.38,371.11,278.54,292.46,268.2,343.32,267.52,285.2,343.48,348.98,348.74,298.01,433.37,338.84,431.2
83,322.7,116.9,0.04,-0.47,7.37,7.7,-6.66,9.98,-3.66,3.92,293.88,157.04,351.97,160.59,277.22,221.94,369.79,221.32,269.33,285.4,372.32,283.95,292.34,261.25,342.73,262.94,290.43,348.31,352.09,350.13,300.47,430.97,341.71,436.3
84,319.76,118.78,-1.36,-3.56,-5.87,2.53,-3.13,12.24,-4.34,-5.03,292.04,164.39,350.26,160.56,267.63,215.56,360.71,210.69,270.47,269.3,364.71,276.12,291.67,263.17,346.22,265.16,292.22,347.87,350.78,344.52,297.05,430.57,343.41,428.67
85,316.73,117.54,-0.38,-2.65,-2.65,-4.84,3.92,0.31,-3.45,3.23,287.76,150.22,354.08,153.7,273.36,216.01,369.57,215.93,265.2,278.02,368.06,283.4,295.0,249.25,346.43,265.97,297.21,349.66,345.02,345.99,292.11,430.9,339.91,427.42
86,317.3,117.39,3.2,1.11,-5.4,-1.25,-2.98,3.48,4.71,4.23,286.98,142.84,342.93,159.49,273.39,210.8,371.57,218.86,270.1,272.63,369.47,274.71,301.4,257.01,347.9,260.0,287.66,344.54,346.48,331.46,286.49,425.93,347.12,430.46
87,320.74,119.97,-5.08,-0.11,1.22,-2.95,0.11,-6.4,5.64,-2.73,298.13,152.03,354.11,151.95,274.88,209.83,365.48,213.43,266.86,271.66,367.56,281.36,294.64,259.21,344.22,254.06,288.2,339.08,347.36,347.21,295.89,435.53,347.56,436.51
88,319.76,120.53,-1.94,-3.07,-4.84,9.32,3.28,-1.34,5.0,2.75,297.86,144.78,348.94,149.12,267.11,215.21,363.92,213.93,279.44,269.56,368.32,271.44,298.95,249.09,342.48,255.58,295.84,332.21,340.78,346.39,296.61,426.95,344.32,430.05
89,322.94,104.81,-3.36,1.09,-0.4,2.29,-4.92,1.43,4.37,1.95,290.56,149.86,346.66,149.96,280.04,209.77,361.44,208.27,270.8,268.75,371.94,272.33,298.56,256.03,348.98,246.6,291.22,339.79,343.37,335.54,293.23,428.1,342.31,428.74
90,324.71,110.8,9.89,0.68,-1.16,0.02,1.03,1.74,8.31,-3.38,293.44,150.83,343.72,153.08,280.07,206.57,364.96,203.1,264.96,274.19,368.13,265.56,295.92,247.91,343.12,252.96,290.35,336.38,345.62,343.88,299.95,427.34,348.75,426.86
91,327.3,105.71,5.31,-2.63,8.05,2.37,-4.06,-2.09,3.12,4.21,289.72,150.42,353.03,150.77,269.83,206.99,365.94,215.11,276.46,273.36,371.15,273.24,292.33,249.73,341.7,245.35,296.16,340.84,347.92,342.28,295.97,432.23,344.83,431.65
92,317.1,112.45,2.67,-2.68,0.21,-2.49,-2.11,-4.5,5.06,4.26,292.15,158.86,349.24,163.1,274.09,211.99,363.41,212.46,273.34,270.51,377.11,271.93,296.08,247.72,346.67,250.82,291.89,337.28,356.36,339.33,289.17,427.21,344.79,432.19
93,322.22,114.87,-2.58,1.36,-3.5,-2.48,-3.67,-4.75,4.26,2.75,293.91,152.32,353.11,145.12,278.45,212.87,367.51,213.68,266.05,266.17,367.15,274.42,297.76,247.55,341.08,250.13,292.06,335.42,340.82,337.58,295.35,425.28,344.54,434.23
94,314.79,112.97,4.1,-1.67,-2.29,4.65,-1.22,4.42,1.72,-1.37,291.92,155.08,354.08,151.61,275.16,213.55,367.82,209.7,274.07,275.66,364.73,278.63,303.94,259.33,350.71,255.66,285.69,334.14,348.68,339.15,291.34,429.75,347.46,424.19
